max_apertura.c3d



Time(s):	Emg_1(uV):	Emg_2(uV):	Emg_3(uV):	Emg_4(uV):	Emg_5(uV):
0.073	-3.7262	4.33044	4.93469	-17.22107	-17.01965
0.0735	-3.7262	4.33044	0.70496	-19.03381	-18.02673
0.074	-3.32336	7.04956	6.64673	-27.09045	-17.22107
0.0745	-4.93469	11.48071	11.2793	-28.80249	-13.99841
0.075	-1.91345	10.77576	6.54602	-30.01099	-10.0708
0.0755	5.94177	9.76868	8.96301	-21.65222	-0.50354
0.076	-0.70496	5.94177	8.15735	-4.73328	21.55151
0.0765	0.60425	3.7262	7.75452	-6.04248	25.177
0.077	4.93469	6.84814	3.02124	-4.33044	19.03381
0.0775	0.40283	7.25098	-3.02124	-10.37292	11.88354
0.078	-3.52478	7.15027	-7.25098	-10.17151	21.14868
0.0785	-0.40283	10.37292	-12.89062	-2.92053	17.42249
0.079	-4.12903	2.21558	-15.30762	3.42407	16.41541
0.0795	-2.5177	0.50354	-10.57434	4.43115	10.37292
0.08	2.71912	-6.2439	-7.75452	-2.31628	15.60974
0.0805	-4.53186	-4.93469	-4.22974	8.35876	7.45239
0.081	-1.10779	-4.12903	5.0354	0.30212	-1.3092
0.0815	10.47363	-8.35876	5.63965	4.83398	-5.23682
0.082	1.3092	-8.56018	-0.30212	-0.90637	-10.17151
0.0825	7.04956	-8.35876	-6.94885	1.71204	-5.74036
0.083	7.75452	-6.94885	-7.65381	9.76868	-10.37292
0.0835	3.52478	-7.95593	-15.40833	13.39417	-14.90479
0.084	3.92761	-10.57434	-9.46655	10.37292	-21.95435
0.0845	2.31628	-16.71753	-11.68213	9.86938	-23.46497
0.085	7.65381	-12.38708	-13.797	11.38	-26.3855
0.0855	2.61841	-14.19983	-11.07788	21.85364	-26.18408
0.086	0.10071	-11.48071	-15.1062	18.42957	-33.53577
0.0865	5.53894	-14.80408	-10.77576	6.44531	-47.23206
0.087	7.75452	-18.42957	-10.97717	8.7616	-39.57825
0.0875	2.5177	-12.89062	-15.91187	7.5531	-32.42798
0.088	2.21558	-18.63098	-11.78284	11.98425	-14.70337
0.0885	-5.53894	-13.19275	-10.27222	3.92761	-4.73328
0.089	-9.06372	-7.35168	-4.53186	2.71912	-5.13611
0.0895	-11.58142	-4.63257	-6.74744	0.10071	9.76868
0.09	-10.97717	-4.02832	-8.15735	8.45947	29.91028
0.0905	-16.01257	-4.12903	-2.01416	10.97717	29.30603
0.091	-31.4209	-0.10071	2.41699	8.8623	23.96851
0.0915	-20.64514	0.30212	0.30212	2.5177	19.63806
0.092	-13.49487	1.81274	4.33044	-0.30212	9.16443
0.0925	-10.87646	4.93469	6.14319	1.10779	4.83398
0.093	-14.50195	2.81982	4.12903	0.70496	-2.31628
0.0935	-12.68921	6.74744	0.70496	-1.10779	-13.49487
0.094	-10.87646	-0.30212	8.7616	-7.15027	-14.80408
0.0945	-14.19983	6.74744	12.08496	-24.97559	6.44531
0.095	-10.37292	7.5531	12.18567	-45.3186	21.45081
0.0955	-11.98425	10.87646	6.84814	-67.47437	27.29187
0.096	-13.49487	14.19983	6.84814	-57.70569	21.65222
0.0965	-16.41541	15.20691	6.44531	-44.51294	22.05505
0.097	-14.30054	12.28638	5.0354	-34.14001	12.08496
0.0975	-10.87646	11.98425	12.28638	-26.08337	5.23682
0.098	-9.06372	6.04248	12.5885	-32.12585	8.35876
0.0985	-6.84814	-0.60425	6.74744	-23.76709	8.35876
0.099	-5.53894	4.22974	7.75452	-18.02673	9.97009
0.0995	-2.5177	-2.21558	1.3092	-10.77576	12.68921
0.1	-11.38	3.32336	-11.88354	-1.00708	14.70337
0.1005	-16.61682	0.30212	-9.46655	9.36584	4.43115
0.101	-11.2793	3.92761	-13.69629	20.04089	-14.50195
0.1015	-9.16443	1.3092	-23.36426	15.60974	-23.8678
0.102	-11.98425	-3.62549	-13.29346	15.60974	-23.8678
0.1025	-4.93469	-8.25806	-4.63257	16.11328	-26.78833
0.103	0	-10.67505	-2.71912	10.37292	-20.74585
0.1035	7.85522	-8.66089	-7.5531	11.38	-21.75293
0.104	-1.10779	-22.15576	-10.77576	11.07788	-15.00549
0.1045	-9.16443	-21.85364	-13.89771	20.64514	-14.50195
0.105	-5.74036	-15.81116	-14.09912	20.24231	-12.78992
0.1055	-4.33044	-16.71753	-17.01965	10.97717	-9.16443
0.106	-2.11487	-13.19275	-13.59558	13.49487	-11.98425
0.1065	-2.92053	-12.38708	-8.35876	10.77576	0.20142
0.107	-6.44531	-17.72461	-1.10779	13.49487	-2.5177
0.1075	-4.53186	-21.85364	-8.96301	9.76868	2.92053
0.108	-7.5531	-8.15735	-0.50354	7.15027	7.5531
0.1085	-7.65381	-6.3446	-5.74036	-5.94177	8.15735
0.109	-8.7616	-6.94885	-5.74036	-12.38708	13.69629
0.1095	-1.91345	-2.21558	-7.5531	-9.76868	15.40833
0.11	0.80566	-0.90637	-0.70496	-25.177	17.82532
0.1105	-3.92761	-6.3446	0.50354	-26.08337	17.72461
0.111	-2.21558	-5.0354	1.81274	-19.63806	19.13452
0.1115	0.40283	-2.01416	6.84814	-22.05505	13.29346
0.112	0.70496	-0.10071	-7.35168	-14.60266	11.38
0.1125	-5.74036	0.20142	1.40991	-12.48779	13.49487
0.113	-6.04248	3.92761	2.81982	-22.05505	14.60266
0.1135	0.30212	7.25098	-5.74036	-12.38708	10.17151
0.114	-7.25098	11.48071	-6.2439	-13.19275	1.10779
0.1145	-10.17151	6.64673	-0.10071	-0.70496	-2.92053
0.115	0.30212	8.7616	12.89062	7.25098	-0.30212
0.1155	0.80566	0.30212	14.80408	11.68213	-3.02124
0.116	-2.92053	2.5177	7.45239	9.86938	3.52478
0.1165	-0.70496	1.91345	0.50354	-0.90637	-0.30212
0.117	-5.43823	-0.40283	0.70496	-1.71204	10.0708
0.1175	-3.32336	-1.61133	5.23682	-14.60266	12.78992
0.118	-1.91345	-1.10779	-0.20142	-5.13611	15.00549
0.1185	-3.12195	1.2085	-1.51062	0.10071	11.07788
0.119	-1.40991	6.74744	-1.10779	-3.52478	7.15027
0.1195	-1.71204	7.35168	-1.40991	7.15027	9.76868
0.12	-4.12903	5.74036	-6.54602	9.97009	3.32336
0.1205	-15.91187	3.92761	-4.83398	12.18567	-17.82532
0.121	-15.30762	-8.56018	-7.75452	16.61682	-30.2124
0.1215	-11.78284	-3.12195	-14.19983	17.12036	-29.40674
0.122	-7.75452	-9.66797	-14.09912	12.28638	-24.87488
0.1225	-10.17151	-11.17859	-7.35168	9.36584	-27.49329
0.123	-5.53894	-3.7262	-8.45947	11.07788	-25.68054
0.1235	-2.11487	-1.51062	-12.48779	14.40125	-24.87488
0.124	-4.83398	-8.8623	-6.2439	22.15576	-20.74585
0.1245	-7.15027	-7.95593	-9.56726	19.13452	-16.01257
0.125	-14.50195	-12.99133	-10.57434	26.98975	-8.96301
0.1255	-7.35168	-16.41541	-13.29346	21.04797	-5.43823
0.126	-9.97009	-16.81824	-18.8324	16.81824	-8.66089
0.1265	-13.19275	-12.78992	-16.41541	17.01965	-9.56726
0.127	-3.22266	-17.92603	-12.78992	23.36426	-14.40125
0.1275	-6.74744	-13.797	-18.32886	11.17859	-10.47363
0.128	-6.54602	-5.43823	-8.7616	17.32178	-11.78284
0.1285	-4.12903	-7.35168	-7.85522	11.88354	-16.11328
0.129	1.10779	0.30212	-4.02832	-0.10071	-18.63098
0.1295	4.63257	3.52478	-5.13611	2.81982	-16.01257
0.13	8.7616	8.8623	-11.58142	-0.10071	-20.24231
0.1305	4.83398	9.06372	-4.22974	-2.01416	-19.83948
0.131	12.48779	2.01416	-5.74036	-6.14319	-21.85364
0.1315	5.63965	3.62549	-2.71912	2.21558	-16.71753
0.132	-2.11487	13.59558	7.75452	-8.96301	-13.39417
0.1325	-0.10071	9.46655	6.14319	-8.56018	-8.96301
0.133	-9.86938	8.35876	4.93469	-12.38708	-5.63965
0.1335	-4.02832	7.25098	5.94177	-13.99841	-1.81274
0.134	-2.61841	6.54602	-0.20142	-14.19983	2.31628
0.1345	-2.41699	1.71204	5.33752	-15.1062	3.92761
0.135	2.5177	2.31628	-0.40283	-20.24231	7.5531
0.1355	3.22266	11.38	0.90637	-14.80408	4.53186
0.136	-4.02832	11.07788	2.81982	-15.60974	0.70496
0.1365	-7.5531	9.06372	10.77576	-17.52319	-1.3092
0.137	8.45947	11.98425	7.15027	-16.11328	-2.31628
0.1375	14.19983	7.85522	5.13611	-20.94727	-5.33752
0.138	14.90479	7.35168	-1.10779	-15.20691	-5.63965
0.1385	3.7262	1.81274	-0.90637	-16.41541	-3.12195
0.139	-1.3092	5.53894	3.8269	-9.97009	3.22266
0.1395	-2.41699	6.64673	-3.12195	-8.05664	1.10779
0.14	-0.90637	5.33752	-4.12903	-5.94177	7.15027
0.1405	-10.87646	9.36584	-7.95593	1.91345	4.53186
0.141	-8.56018	6.54602	-8.7616	1.2085	1.61133
0.1415	-12.18567	1.81274	-11.88354	2.71912	4.73328
0.142	-17.12036	-4.12903	-10.77576	2.61841	6.14319
0.1425	-16.71753	-3.12195	-12.48779	13.49487	10.17151
0.143	-13.59558	-0.10071	-15.40833	9.76868	4.33044
0.1435	-10.57434	-7.75452	-7.65381	12.89062	4.53186
0.144	-15.40833	-15.00549	-10.57434	7.35168	4.83398
0.1445	-18.63098	-9.06372	-15.30762	8.15735	5.0354
0.145	-18.02673	-7.75452	-10.67505	11.68213	3.52478
0.1455	-17.01965	-20.64514	-2.31628	15.40833	1.40991
0.146	-13.99841	-22.55859	3.02124	13.39417	-1.71204
0.1465	-17.52319	-23.8678	7.35168	17.42249	-4.73328
0.147	-13.99841	-29.91028	4.43115	18.53027	-2.21558
0.1475	-8.45947	-25.78125	2.41699	6.94885	-0.70496
0.148	-7.85522	-15.81116	-0.50354	9.16443	-3.12195
0.1485	-12.78992	-8.7616	-6.64673	2.5177	-0.40283
0.149	-6.14319	-5.23682	-13.89771	5.63965	-1.40991
0.1495	-1.10779	-4.43115	-26.08337	6.84814	1.3092
0.15	-0.10071	-15.1062	-23.46497	-5.43823	3.52478
0.1505	1.2085	-12.18567	-19.94019	-5.33752	5.43823
0.151	1.40991	-11.2793	-16.41541	-4.22974	-1.61133
0.1515	3.42407	-10.37292	-11.98425	-10.57434	5.0354
0.152	11.88354	-6.04248	3.7262	-10.57434	1.81274
0.1525	1.51062	-0.70496	11.48071	-24.87488	3.22266
0.153	1.10779	5.53894	13.69629	-23.96851	-3.12195
0.1535	-5.33752	4.93469	14.60266	-23.16284	-4.53186
0.154	-2.31628	10.17151	15.00549	-33.03223	-8.96301
0.1545	-0.70496	8.7616	13.19275	-32.32727	-7.95593
0.155	-6.14319	6.54602	10.67505	-34.34143	-4.53186
0.1555	-5.13611	18.63098	10.17151	-40.88745	-7.45239
0.156	-3.62549	23.36426	7.15027	-41.39099	-5.43823
0.1565	-2.5177	19.03381	6.44531	-35.75134	-5.23682
0.157	-0.50354	17.92603	-5.84106	-9.06372	5.53894
0.1575	-5.74036	17.42249	0.50354	3.8269	11.07788
0.158	-8.45947	19.33594	0.70496	10.97717	1.00708
0.1585	-4.12903	14.80408	-5.43823	8.7616	-1.51062
0.159	-9.16443	7.5531	-2.5177	12.99133	-9.66797
0.1595	-6.44531	4.53186	-2.92053	18.63098	-4.53186
0.16	-13.69629	-0.50354	1.71204	5.33752	-5.0354
0.1605	-15.40833	-8.15735	7.75452	10.37292	-2.31628
0.161	-8.05664	-1.51062	-4.73328	6.04248	4.83398
0.1615	-4.43115	-13.59558	-6.44531	3.02124	11.98425
0.162	-0.80566	-19.23523	-10.57434	10.27222	9.06372
0.1625	4.73328	-22.05505	-11.78284	7.15027	11.38
0.163	11.48071	-21.65222	-4.33044	13.99841	13.29346
0.1635	18.02673	-23.56567	-7.35168	17.12036	8.7616
0.164	13.39417	-21.45081	-10.47363	7.04956	10.67505
0.1645	11.17859	-22.15576	-9.97009	14.30054	11.17859
0.165	10.37292	-24.77417	-12.38708	14.60266	4.33044
0.1655	2.61841	-17.01965	-8.35876	11.48071	-2.41699
0.166	-1.51062	-16.01257	-14.80408	13.59558	2.71912
0.1665	5.43823	-16.81824	-17.12036	15.40833	-2.71912
0.167	4.73328	-26.58691	-9.16443	14.60266	3.32336
0.1675	7.75452	-19.83948	-10.77576	12.89062	2.01416
0.168	2.71912	-22.05505	-1.40991	11.78284	5.0354
