chiusura_max.c3d



Time(s):	Emg_1(uV):	Emg_2(uV):	Emg_3(uV):	Emg_4(uV):	Emg_5(uV):
0.159	-5.13611	-5.13611	-0.10071	5.33752	-5.0354
0.1595	-7.04956	-3.52478	-0.60425	1.10779	-3.7262
0.16	-3.12195	-5.94177	-8.25806	-0.70496	2.01416
0.1605	-2.31628	0.70496	-11.98425	-4.02832	0.60425
0.161	-3.32336	-8.56018	-12.18567	-1.51062	6.14319
0.1615	-3.22266	-3.7262	-0.10071	0.50354	-4.53186
0.162	0.90637	5.0354	3.7262	-5.84106	-5.74036
0.1625	-6.94885	5.13611	8.45947	-2.81982	-1.40991
0.163	-3.02124	-6.04248	0.40283	1.40991	-0.30212
0.1635	0.50354	-3.7262	-0.70496	-1.00708	-6.74744
0.164	-4.33044	-1.40991	3.12195	-0.10071	3.42407
0.1645	-6.74744	-4.33044	-0.10071	11.48071	-1.81274
0.165	-6.3446	-2.92053	-5.33752	12.38708	-0.70496
0.1655	-5.84106	-6.84814	-6.44531	6.84814	5.23682
0.166	-6.3446	1.91345	-10.27222	4.02832	12.5885
0.1665	-3.42407	-3.8269	-6.2439	1.51062	2.61841
0.167	-2.21558	-3.32336	-0.10071	5.43823	-4.93469
0.1675	-5.33752	0.30212	8.66089	-1.10779	-8.7616
0.168	-7.35168	-1.3092	9.76868	-3.32336	-6.74744
0.1685	-5.33752	-5.33752	5.13611	-5.63965	-0.10071
0.169	-3.12195	-7.35168	4.63257	-6.14319	1.71204
0.1695	-1.91345	-7.15027	-4.33044	-5.23682	1.10779
0.17	-3.92761	-7.25098	-2.61841	-13.29346	0.80566
0.1705	-2.11487	-3.7262	-0.80566	-8.35876	-1.40991
0.171	-6.2439	0.60425	-1.71204	-1.61133	-11.17859
0.1715	-12.78992	-1.51062	6.44531	11.88354	-10.27222
0.172	-11.07788	-8.35876	-5.63965	3.92761	-2.61841
0.1725	-2.5177	-5.43823	-9.97009	0.30212	8.05664
0.173	-7.95593	-4.12903	-10.77576	-13.19275	-0.10071
0.1735	-7.35168	-0.30212	2.71912	-0.10071	-9.16443
0.174	-9.56726	0.20142	9.16443	15.60974	-16.41541
0.1745	-4.73328	1.71204	4.22974	5.33752	-6.04248
0.175	-3.92761	-10.57434	-1.51062	-0.10071	7.5531
0.1755	-5.84106	-12.18567	3.92761	-9.06372	10.27222
0.176	-7.95593	-7.95593	3.22266	-5.13611	12.5885
0.1765	-14.80408	-12.18567	7.15027	-5.23682	11.98425
0.177	-16.61682	-6.3446	-0.70496	-2.41699	15.40833
0.1775	-7.04956	-6.2439	-1.3092	3.7262	13.49487
0.178	-3.8269	-4.02832	-3.12195	-2.81982	-1.51062
0.1785	-0.30212	-0.60425	-5.13611	3.7262	-8.56018
0.179	7.15027	3.42407	-5.63965	4.53186	-4.22974
0.1795	16.21399	0.70496	-4.53186	-8.96301	-9.26514
0.18	9.66797	2.01416	-5.53894	-11.98425	-9.26514
0.1805	2.31628	1.71204	-1.3092	-11.07788	-7.65381
0.181	-1.10779	-10.57434	-9.06372	-18.73169	-1.00708
0.1815	0.20142	-10.17151	-10.37292	-19.33594	-2.61841
0.182	-8.8623	-9.06372	-1.61133	-10.57434	2.71912
0.1825	-6.14319	3.42407	7.25098	3.62549	-2.01416
0.183	-3.42407	3.42407	6.94885	9.26514	-5.63965
0.1835	-5.43823	-6.74744	-7.75452	17.12036	0.10071
0.184	-5.23682	-8.56018	-7.75452	7.25098	-2.21558
0.1845	0.20142	5.43823	1.91345	-9.36584	-7.85522
0.185	3.32336	5.43823	0.70496	-16.61682	-9.06372
0.1855	4.93469	6.94885	-7.5531	-8.35876	-18.93311
0.186	4.12903	6.64673	-6.84814	-6.3446	-15.40833
0.1865	-1.51062	3.22266	0.70496	-4.63257	-8.56018
0.187	-1.91345	-0.60425	-3.02124	4.02832	-6.14319
0.1875	2.31628	0.50354	6.74744	8.7616	-5.13611
0.188	-4.53186	-4.33044	2.92053	1.71204	-1.10779
0.1885	-7.5531	-9.56726	0.90637	4.02832	4.43115
0.189	-6.74744	-9.36584	0.10071	12.68921	-0.70496
0.1895	-8.96301	-7.35168	1.81274	3.92761	5.53894
0.19	-12.5885	-7.5531	4.12903	6.2439	-2.92053
0.1905	-1.71204	-4.02832	3.42407	-0.50354	-5.53894
0.191	0.70496	1.3092	-1.2085	5.53894	-9.76868
0.1915	4.93469	1.00708	-5.33752	-5.13611	-8.05664
0.192	-0.30212	-1.40991	1.3092	-7.35168	-2.11487
0.1925	-2.5177	-2.71912	-4.22974	-5.43823	-7.65381
0.193	2.11487	-6.2439	-5.84106	-3.52478	-1.71204
0.1935	5.0354	-9.97009	-5.74036	-0.30212	-4.12903
0.194	0.90637	-6.14319	1.40991	-1.91345	-0.70496
0.1945	-4.43115	-7.95593	-0.60425	-1.3092	-2.81982
0.195	-3.8269	-3.02124	-6.44531	-3.32336	-2.81982
0.1955	-4.53186	-1.81274	-2.41699	-0.70496	0
0.196	-5.43823	-2.71912	-0.90637	-3.7262	3.02124
0.1965	-13.39417	-5.43823	-1.81274	-3.7262	9.36584
0.197	-7.35168	-6.3446	-4.43115	-11.38	7.35168
0.1975	-0.90637	-7.5531	-4.93469	-7.25098	2.31628
0.198	4.93469	-5.74036	3.42407	1.00708	-5.33752
0.1985	-1.10779	-1.10779	6.74744	10.87646	-6.94885
0.199	-1.3092	-2.31628	-0.30212	2.71912	-5.74036
0.1995	-5.43823	0.70496	1.71204	-4.02832	-2.31628
0.2	-0.30212	-10.17151	-1.61133	-1.10779	-1.91345
0.2005	-4.93469	0.80566	-2.11487	-0.10071	-1.3092
0.201	-12.78992	2.11487	1.71204	1.3092	1.61133
0.2015	-3.62549	0.40283	1.10779	4.63257	-0.50354
0.202	0.40283	-8.56018	-6.3446	2.5177	-0.40283
0.2025	-2.71912	-5.94177	-5.0354	-3.92761	2.11487
0.203	-2.01416	-4.63257	-1.71204	-12.5885	6.84814
0.2035	-4.83398	-0.10071	-8.96301	-2.71912	2.92053
0.204	-8.56018	0.30212	-0.30212	-0.60425	-7.15027
0.2045	-16.81824	0.30212	2.21558	9.36584	-4.93469
0.205	-8.35876	-4.63257	-1.00708	14.60266	-4.53186
0.2055	0.10071	-2.11487	-3.52478	-4.93469	0.70496
0.206	2.21558	-3.52478	-6.74744	-16.41541	6.94885
0.2065	-4.33044	-6.3446	0.50354	-13.797	0.60425
0.207	-2.61841	-2.21558	0.70496	-7.95593	-4.53186
0.2075	-0.90637	-1.81274	1.91345	13.59558	-5.53894
0.208	-6.94885	-5.94177	-0.40283	9.56726	-6.94885
0.2085	-1.81274	-2.81982	1.00708	6.54602	0.20142
0.209	-5.0354	-4.22974	-3.7262	8.15735	0.70496
0.2095	-3.22266	-7.35168	4.12903	0.50354	-0.10071
0.21	5.33752	-2.41699	-3.12195	2.31628	0.70496
